name,knownFor,intro,longBio,achievement,birthYear,deathYear,birthCity,birthCountry,nationality,century,contributionYear,era,classification,gender,education,awards,institutions,notableWorks,influencedBy,influenced,funFacts,latitude,longitude,imageLocal
An Wang,"An Wang was a Chinese-American computer engineer and inventor, and cofounder of computer company Wang","An Wang (1920-1990) was a Chinese-American computer scientist and inventor. He co-founded Wang Laboratories and made significant contributions to computer architecture, particularly in the development of magnetic core memory. His inventions, including the magnetic pulse transfer controlling device, played a pivotal role in the advancement of early computer technology.","An Wang was a Chinese-American computer engineer and inventor, and cofounder of computer company Wang Laboratories, which was known primarily for its dedicated word processing machines. An Wang was an important contributor to the development of magnetic-core memory.","Known for developing magnetic core memory, pioneering the word processor, and founding Wang Laboratories. His innovative products revolutionized computing and office work, and his company grew into a billion-dollar entity under his leadership.",1920,,Shanghai,China,,20,1950,Cold War Computing,"[""hardware""]",male,[],[],"[{""name"": ""China University of Geosciences, Wuhan"", ""role"": null, ""years"": ""2008–""}]",[],[],[],[],31.2304,121.4737,https://pioneersincs.blob.core.windows.net/pioneers-images/an_wang.webp
Sergei Alekseyevich Lebedev,Sergey Alekseyevich Lebedev was a Soviet scientist in the fields of electrical engineering and computer,"Sergei Alekseyevich Lebedev (1902-1974) was a notable Soviet computer scientist and engineer. He led the development of the MESM, one of the earliest electronic computers. Lebedev's contributions to the Soviet computer industry and advancements in computer technology have left a lasting impact on the field of computer science.","Sergey Alekseyevich Lebedev was a Soviet scientist in the fields of electrical engineering and computer science, and designer of the first Soviet computers.","Known for developing the MESM (Small Electronic Calculating Machine), one of the earliest electronic computers. Lebedev's pioneering work in computer architecture and design laid the groundwork for subsequent advancements in computing technology, contributing to the growth of the field globally.",1902,1974,Nizhny Novgorod,Russia,Soviet Union,20,1951,Cold War Computing,"[""hardware"", ""programming languages""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Bauman Moscow State Technical University"", ""year"": 1928}, {""degree"": null, ""field"": null, ""institution"": ""Moscow Institute of Physics and Technology"", ""year"": null}]","[{""name"": ""Order of Lenin"", ""year"": 1972}, {""name"": ""Order of the Red Banner of Labour"", ""year"": 1947}, {""name"": ""Hero of Socialist Labour"", ""year"": 1956}, {""name"": ""USSR State Prize"", ""year"": 1969}, {""name"": ""Order of the Red Banner"", ""year"": null}, {""name"": ""Order of the October Revolution"", ""year"": 1971}, {""name"": ""Medal \""For Valiant Labour in the Great Patriotic War 1941–1945\"""", ""year"": 1946}, {""name"": ""Lenin Prize"", ""year"": 1966}, {""name"": ""Computer Pioneer Award"", ""year"": 1996}, {""name"": ""Stalin Prize, 3rd degree"", ""year"": 1950}]","[{""name"": ""Lebedev Institute of Precision Mechanics and Computer Engineering"", ""role"": null, ""years"": ""1950–1953""}, {""name"": ""NASU Institute of Electrodynamics"", ""role"": null, ""years"": ""1947–1951""}, {""name"": ""Moscow Power Engineering Institute"", ""role"": null, ""years"": ""1951–""}, {""name"": ""Moscow Institute of Physics and Technology"", ""role"": null, ""years"": ""1953–1973""}, {""name"": ""All-Russian Electrotechnical Institute"", ""role"": null, ""years"": ""1936–1946""}]","[{""title"": ""MESM"", ""type"": ""other"", ""year"": null}]",[],[],[],56.3269,44.0059,https://pioneersincs.blob.core.windows.net/pioneers-images/sergei_alekseyevich_lebedev.webp
Grace Hopper,"Grace Brewster Hopper was an American computer scientist, mathematician, and United States Navy rear admiral",Grace Hopper (1906-1992) was a pioneering American computer scientist and naval officer. She developed the first compiler and played a crucial role in the development of early computer systems. Hopper's contributions to programming languages and software standardization have had a profound and lasting impact on the field of computer science.,"Grace Brewster Hopper was an American computer scientist, mathematician, and United States Navy rear admiral. She was a pioneer of computer programming. Hopper was the first to devise the theory of machine-independent programming languages, and used this theory to develop the FLOW-MATIC programming language and COBOL, an early high-level programming language still in use today. She was also one of the first programmers on the Harvard Mark I computer. She is credited with writing the first computer manual, ""A Manual of Operation for the Automatic Sequence Controlled Calculator.""","Pioneered work on the necessity for high-level programming languages, which she termed automatic programming; wrote the A-O compiler, which heavily influenced the COBOL language",1906,1992,New York City,U.S.A,United States,20,1952,Cold War Computing,"[""programming languages""]",female,"[{""degree"": null, ""field"": null, ""institution"": ""Wardlaw-Hartridge School"", ""year"": 1924}, {""degree"": ""master's degree"", ""field"": null, ""institution"": ""Yale University"", ""year"": 1930}, {""degree"": ""bachelor's degree"", ""field"": null, ""institution"": ""Vassar College"", ""year"": 1928}, {""degree"": ""Doctor of Philosophy"", ""field"": null, ""institution"": ""Yale University"", ""year"": 1934}]","[{""name"": ""Meritorious Service Medal"", ""year"": null}, {""name"": ""Legion of Merit"", ""year"": null}, {""name"": ""Wilbur Cross Medal"", ""year"": 1972}, {""name"": ""Harry H. Goode Memorial Award"", ""year"": 1970}, {""name"": ""National Defense Service Medal"", ""year"": null}, {""name"": ""Fellow of the American Academy of Arts and Sciences"", ""year"": null}, {""name"": ""American Campaign Medal"", ""year"": null}, {""name"": ""Legionnaire of Legion of Merit"", ""year"": 1973}, {""name"": ""Armed Forces Reserve Medal"", ""year"": null}, {""name"": ""Computer History Museum Fellow"", ""year"": 1987}, {""name"": ""W. Wallace McDowell Award"", ""year"": 1979}, {""name"": ""ACM Distinguished Service Award"", ""year"": 1983}, {""name"": ""Fellow of the British Computer Society"", ""year"": 1973}, {""name"": ""World War II Victory Medal"", ""year"": null}, {""name"": ""Defense Distinguished Service Medal"", ""year"": 1985}, {""name"": ""Society of Women Engineers Achievement Award"", ""year"": 1964}, {""name"": ""Ada Lovelace Award"", ""year"": 1983}, {""name"": ""Presidential Medal of Freedom"", ""year"": 2016}, {""name"": ""National Women's Hall of Fame"", ""year"": 1994}, {""name"": ""Washington Award"", ""year"": 1987}, {""name"": ""Distinguished Fellow of the British Computer Society"", ""year"": 1973}, {""name"": ""IEEE Emanuel R. Piore Award"", ""year"": 1988}, {""name"": ""National Medal of Technology and Innovation"", ""year"": 1991}]","[{""name"": ""Naval Sea Systems Command"", ""role"": null, ""years"": ""1966–1986""}, {""name"": ""Remington Rand"", ""role"": null, ""years"": ""1950–1955""}, {""name"": ""Sperry Corporation"", ""role"": null, ""years"": ""1955–1966""}]","[{""title"": ""FLOW-MATIC"", ""type"": ""other"", ""year"": null}]","[""Richard Courant""]","[""Winifred Asprey""]","[""She was a pioneer of computer programming."", ""Hopper was the first to devise the theory of machine-independent programming languages, and used this theory to develop the FLOW-MATIC programming language and COBOL, an early high-level programming language still in use today."", ""She was also one of the first programmers on the Harvard Mark I computer."", ""She is credited with writing the first computer manual, \""A Manual of Operation for the Automatic Sequence Controlled Calculator.\""\nBefore joining the Navy, Hopper earned a Ph.D.""]",40.7128,-74.006,https://pioneersincs.blob.core.windows.net/pioneers-images/grace_hopper.webp
Frank Gray,Francis Tierney Gray is a Scottish football manager and former player,"Frank Gray, an American engineer and inventor, is known for his invention of the Gray code, a binary numeral system used in digital communication and information storage. The Gray code, also called reflected binary code, has applications in error detection, data transmission, and hardware systems.","Francis Tierney Gray is a Scottish football manager and former player. He played for Leeds United, Nottingham Forest, Sunderland and Darlington, while he also represented Scotland 32 times. He managed Darlington, Farnborough Town, Grays Athletic, Woking, Basingstoke Town and Bashley.","Physicist and researcher at Bell Labs, developed the reflected binary code (RBC) or Gray code.Gray's methodologies are used for error detection and correction in digital communication systems, such as QAM in digital subscriber line networks.",1887,1969,Alpine,U.S.A,United States,20,1953,Cold War Computing,"[""theory of computation"", ""hardware""]",male,[],"[{""name"": ""Fellow of the American Physical Society"", ""year"": null}]",[],[],[],[],[],39.5532,-85.1758,https://pioneersincs.blob.core.windows.net/pioneers-images/frank_gray.webp
Herbert A. Simon,"Herbert Alexander Simon was an American scholar whose work influenced the fields of computer science,","Herbert A. Simon (1916-2001) was an American economist, political scientist, and cognitive psychologist. He co-developed the General Problem Solver and, together with Allen Newell, pioneered the field of artificial intelligence. Simon's work in decision-making and problem-solving has had a lasting impact on cognitive science, economics, and computer science. He was awarded the Nobel Prize in Economics in 1978.","Herbert Alexander Simon was an American scholar whose work influenced the fields of computer science, economics, and cognitive psychology. His primary research interest was decision-making within organizations and he is best known for the theories of ""bounded rationality"" and ""satisficing"". He and Allen Newell received the ACM Turing Award in 1975, and he received the Nobel Memorial Prize in Economic Sciences in 1978.","He made significant contributions to multiple fields, including artificial intelligence, cognitive science, and decision-making. Simon is known for his research on human problem-solving and decision-making processes, and he developed the concept of bounded rationality, which recognizes the limitations of human decision-making in complex situations. He received the Turing Award in 1975 for his contributions to the field of artificial intelligence and cognitive psychology. Simon's interdisciplinary work has had a profound impact on our understanding of human cognition and behavior.",1916,2001,Milwaukee,U.S.A,United States,20,1956,Cold War Computing,"[""artificial intelligence""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""University of Chicago"", ""year"": null}]","[{""name"": ""Harold Pender Award"", ""year"": 1987}, {""name"": ""Prize in Economic Sciences in Memory of Alfred Nobel"", ""year"": 1978}, {""name"": ""National Medal of Science"", ""year"": 1986}, {""name"": ""Fellow of the American Academy of Arts and Sciences"", ""year"": null}, {""name"": ""John von Neumann Theory Prize"", ""year"": 1988}, {""name"": ""Distinguished Fellow of the American Economic Association"", ""year"": null}, {""name"": ""William James Fellow Award"", ""year"": 1989}, {""name"": ""honorary doctorate from the University of Montpellier-III"", ""year"": 1983}, {""name"": ""Honorary Fellow of the British Psychological Society"", ""year"": null}, {""name"": ""John Gaus Award"", ""year"": 2000}, {""name"": ""Fellow of the Econometric Society"", ""year"": 1954}, {""name"": ""Josiah Willard Gibbs Lectureship"", ""year"": 1984}, {""name"": ""William Procter Prize for Scientific Achievement"", ""year"": 1980}, {""name"": ""AAAI Fellow"", ""year"": 1990}, {""name"": ""ACM Fellow"", ""year"": 1994}, {""name"": ""Turing Award"", ""year"": 1975}, {""name"": ""IJCAI Award for Research Excellence"", ""year"": 1995}, {""name"": ""APA Award for Outstanding Lifetime Contributions to Psychology"", ""year"": 1993}, {""name"": ""APA Award for Distinguished Scientific Contributions to Psychology"", ""year"": 1969}]","[{""name"": ""Illinois Institute of Technology"", ""role"": null, ""years"": null}, {""name"": ""Carnegie Mellon University"", ""role"": null, ""years"": null}]","[{""title"": ""bounded rationality"", ""type"": ""other"", ""year"": null}, {""title"": ""Administrative Behavior"", ""type"": ""other"", ""year"": 1947}]","[""Richard T. Ely""]","[""Gerd Gigerenzer"", ""James G. March""]","[""He was at Carnegie Mellon University for most of his career, from 1949 to 2001, where he helped found the Carnegie Mellon School of Computer Science, one of the first such departments in the world.""]",43.0389,-87.9063,https://pioneersincs.blob.core.windows.net/pioneers-images/herbert_a_simon.webp
Russell Gray Kirsch,Russell A,Russell Gray Kirsch (1929-2020) was an American computer scientist and inventor. He is known for developing the first digital image scanner and the first digital image using a computer in 1957. Kirsch's contributions to digital imaging and his invention of the pixel have had a profound impact on the field of computer graphics and image processing.,"Russell A. Kirsch was an American engineer at the National Bureau of Standards. He was recognized as the developer of the first digital image scanner, and subsequently scanned the world's first digital photograph – an image of his infant son.","Whilst working for the National Bureau of Standards (NBS), Kirsch used a recently developed image scanner to scan and store the first digital photograph.His scanned photo of his three-month-old son was deemed by Life magazine as one of the ""100 Photographs That Changed The World.”",1929,,New York City,U.S.A,,20,1957,Cold War Computing,"[""computer graphics""]",male,[],[],[],[],[],[],[],40.7128,-74.0059,https://pioneersincs.blob.core.windows.net/pioneers-images/russell_gray_kirsch.webp
John McCarthy,John McCarthy may refer to:,"John McCarthy (1927-2011) was an American computer scientist and cognitive scientist. He is known for coining the term ""artificial intelligence"" and pioneering research in the field. McCarthy developed the Lisp programming language, which became a major tool for AI research. His contributions laid the foundations for modern AI and symbolic programming.",John McCarthy may refer to:,"Known for creating the LISP programming language, a significant development in artificial intelligence (AI) research. He coined the term ""artificial intelligence"" and made contributions to time-sharing systems and formal logic. McCarthy received the Turing Award for his groundbreaking work in computer science.",1927,2011,Boston,U.S.A,United States,20,1958,Cold War Computing,"[""artificial intelligence"", ""programming languages"", ""theory of computation""]",male,"[{""degree"": ""Doctor of Philosophy"", ""field"": null, ""institution"": ""Princeton University"", ""year"": 1951}, {""degree"": null, ""field"": null, ""institution"": ""Belmont High School"", ""year"": null}, {""degree"": ""Bachelor of Science"", ""field"": null, ""institution"": ""California Institute of Technology"", ""year"": 1948}]","[{""name"": ""ACM Fellow"", ""year"": 1994}, {""name"": ""Fellow of the Cognitive Science Society"", ""year"": null}, {""name"": ""AAAI Fellow"", ""year"": 1990}, {""name"": ""IJCAI Award for Research Excellence"", ""year"": 1985}, {""name"": ""Kyoto Prize in Advanced Technology"", ""year"": 1988}, {""name"": ""Computer Pioneer Award"", ""year"": 1985}, {""name"": ""Turing Award"", ""year"": 1971}, {""name"": ""Benjamin Franklin Medal"", ""year"": 2003}, {""name"": ""Computer History Museum Fellow"", ""year"": null}, {""name"": ""Programming Languages Achievement Award"", ""year"": 2002}, {""name"": ""National Medal of Science"", ""year"": 1990}]","[{""name"": ""Stanford University"", ""role"": null, ""years"": ""1962–2000""}, {""name"": ""Princeton University"", ""role"": null, ""years"": null}, {""name"": ""Massachusetts Institute of Technology"", ""role"": null, ""years"": null}]","[{""title"": ""artificial intelligence"", ""type"": ""other"", ""year"": null}]",[],"[""Steve Russell"", ""Richard P. Gabriel"", ""Wally Feurzeig"", ""Kent Pitman"", ""Q92991"", ""Pat Hayes"", ""Louis Hodes""]",[],42.36,-71.0582,https://pioneersincs.blob.core.windows.net/pioneers-images/john_mccarthy.webp
Ramon Llull,"Ramon Llull, sometimes anglicized as Raymond Lully, was a Catholic philosopher, theologian, poet, missionary, apologist","Ramon Llull (1232–1316), also known as Raymond Lull or Lully, was a mathematician, polymath, philosopher, logician, Franciscan tertiary, and writer from the Kingdom of Majorca. He is best known for his Ars Combinatoria, a method aimed at discovering truth by combining basic elements of knowledge through a systematic process.","Ramon Llull, sometimes anglicized as Raymond Lully, was a Catholic philosopher, theologian, poet, missionary, apologist and former knight, born in Palma de Majorca. He invented a philosophical system known as the Art, conceived as a type of universal logic to prove the truth of Christian doctrine to interlocutors of all faiths and nationalities. The Art consists of a set of general principles and combinatorial operations. It is illustrated with diagrams.","Designed multiple symbolic representations machines, and pioneered notions of symbolic representation and manipulation to produce knowledge—both of which were major influences on Leibniz.",1232,1316,Palma,Spain,Kingdom of Majorca,14,1300,Ancient/Medieval Computing,"[""theory of computation"", ""applied computing""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""University of Montpellier"", ""year"": null}]",[],[],"[{""title"": ""Hores de Sancta Maria"", ""type"": ""other"", ""year"": 1300}, {""title"": ""Llibre de Benedicta tu in mulieribus"", ""type"": ""other"", ""year"": 1300}, {""title"": ""Art de contemplació"", ""type"": ""other"", ""year"": 1273}, {""title"": ""Blanquerna"", ""type"": ""other"", ""year"": 1276}, {""title"": ""Doctrina pueril"", ""type"": ""other"", ""year"": 1276}, {""title"": ""Llibre de santa Maria"", ""type"": ""other"", ""year"": 1290}, {""title"": ""Mil proverbis"", ""type"": ""other"", ""year"": 1302}, {""title"": ""Book of the Beasts"", ""type"": ""other"", ""year"": 1300}, {""title"": ""Felix or the Book of Wonders"", ""type"": ""other"", ""year"": 1287}, {""title"": ""Book of the Order of Chivalry"", ""type"": ""other"", ""year"": 1274}, {""title"": ""Llibre d'Amic e Amat"", ""type"": ""other"", ""year"": null}, {""title"": ""Ars magna"", ""type"": ""other"", ""year"": 1305}, {""title"": ""Proverbis de Ramon"", ""type"": ""other"", ""year"": null}, {""title"": ""Proverbis d'ensenyament"", ""type"": ""other"", ""year"": null}, {""title"": ""Book of the Gentile and the Three Wise Men"", ""type"": ""other"", ""year"": 1270}, {""title"": ""Book of Contemplation in God"", ""type"": ""other"", ""year"": 1273}, {""title"": ""Tree of Science"", ""type"": ""other"", ""year"": 1296}]",[],"[""Gottfried Wilhelm Leibniz"", ""Eliphas Levi"", ""Josep Palau i Fabre"", ""Sebastián Izquierdo"", ""Giordano Bruno"", ""Raymond of Sabunde""]","[""He invented a philosophical system known as the Art, conceived as a type of universal logic to prove the truth of Christian doctrine to interlocutors of all faiths and nationalities."", ""In addition to Catalan and Latin, he also probably wrote in Arabic (although no texts in Arabic survive)."", ""Although his work did not enjoy huge success during his lifetime, he has had a rich and continuing reception.""]",39.6953,2.6502,https://pioneersincs.blob.core.windows.net/pioneers-images/ramon_llull.webp
Joseph Marie Jacquard,Joseph Marie Charles dit Jacquard was a French weaver and merchant,"Joseph Marie Jacquard was a French weaver and merchant who lived in the 18th and 19th centuries. He played a crucial role in the development of the earliest programmable loom, which is often referred to as the ""Jacquard loom"". This device used punched cards to control a sequence of operations. It was an important step in the history of computing hardware because it used a form of binary code and can be considered an early example of a stored-program machine.","Joseph Marie Charles dit Jacquard was a French weaver and merchant. He played an important role in the development of the earliest programmable loom, which in turn played an important role in the development of other programmable machines, such as an early version of digital compiler used by IBM to develop the modern day computer.","French inventor who created the Jacquard loom, a mechanical loom that used punched cards to control the weaving of complex patterns. This innovation revolutionized the textile industry and laid the foundation for modern computer programming and automation.",1752,1834,Lyon,France,France,19,1801,Early Electronic Computing,"[""hardware"", ""applied computing""]",male,[],"[{""name"": ""Knight of the Legion of Honour"", ""year"": 1819}]",[],"[{""title"": ""Jacquard loom"", ""type"": ""other"", ""year"": null}, {""title"": ""punched card"", ""type"": ""other"", ""year"": null}]",[],[],[],45.764,4.8357,https://pioneersincs.blob.core.windows.net/pioneers-images/joseph_marie_jacquard.webp
Gottlob Frege,"Friedrich Ludwig Gottlob Frege was a German philosopher, logician, and mathematician","Gottlob Frege was a German philosopher, logician, and mathematician. He is considered one of the founders of modern logic and made significant contributions to the philosophy of language. Among his most notable works is the development of predicate logic, also known as ""Fregean logic"".","Friedrich Ludwig Gottlob Frege was a German philosopher, logician, and mathematician. He was a mathematics professor at the University of Jena, and is understood by many to be the father of analytic philosophy, concentrating on the philosophy of language, logic, and mathematics. Though he was largely ignored during his lifetime, Giuseppe Peano (1858–1932), Bertrand Russell (1872–1970), and, to some extent, Ludwig Wittgenstein (1889–1951) introduced his work to later generations of philosophers. Frege is widely considered to be one of the greatest logicians since Aristotle, and one of the most profound philosophers of mathematics ever.","Extended Aristotelian logic with first-order predicate calculus independently of Charles Sanders Peirce, a crucial precursor in computability theory; also relevant to early work on artificial intelligence, logic programming",1848,1925,Wismar,Germany,Germany,19,1879,Early Electronic Computing,"[""theory of computation""]",male,"[{""degree"": ""Doctor"", ""field"": null, ""institution"": ""University of Göttingen"", ""year"": 1873}, {""degree"": null, ""field"": null, ""institution"": ""Friedrich Schiller University Jena"", ""year"": 1871}, {""degree"": null, ""field"": null, ""institution"": ""Grosse Stadtschule zu Wismar"", ""year"": 1869}]",[],"[{""name"": ""Friedrich Schiller University Jena"", ""role"": null, ""years"": null}]","[{""title"": ""Frege system"", ""type"": ""other"", ""year"": null}, {""title"": ""Frege–Church ontology"", ""type"": ""other"", ""year"": null}, {""title"": ""Frege's Puzzle"", ""type"": ""other"", ""year"": null}, {""title"": ""Begriffsschrift"", ""type"": ""other"", ""year"": 1879}, {""title"": ""Grundgesetze der Arithmetik"", ""type"": ""other"", ""year"": 1893}, {""title"": ""principle of compositionality"", ""type"": ""other"", ""year"": null}, {""title"": ""Frege's propositional calculus"", ""type"": ""other"", ""year"": null}, {""title"": ""Frege's theorem"", ""type"": ""other"", ""year"": null}, {""title"": ""The Foundations of Arithmetic"", ""type"": ""other"", ""year"": 1884}]","[""Bernard Bolzano""]","[""Friedrich Bachmann"", ""Ludwig Wittgenstein"", ""Rudolf Carnap"", ""Bertrand Russell"", ""Philip Jourdain"", ""Saul Kripke"", ""Henri Bergson"", ""Edmund Husserl""]","[""Frege is widely considered to be one of the greatest logicians since Aristotle, and one of the most profound philosophers of mathematics ever."", ""His contributions include the development of modern logic in the Begriffsschrift and work in the foundations of mathematics."", ""His book the Foundations of Arithmetic is the seminal text of the logicist project, and is cited by Michael Dummett as where to pinpoint the linguistic turn.""]",53.888,11.4621,https://pioneersincs.blob.core.windows.net/pioneers-images/gottlob_frege.webp
Percy Ludgate,Percy Edwin Ludgate was an Irish amateur scientist who designed the second analytical engine in,"Percy Edwin Ludgate was an Irish amateur scientist who is known for designing the second analytical engine, a general-purpose Turing-complete computer.","Percy Edwin Ludgate was an Irish amateur scientist who designed the second analytical engine in 1909, following the system of Charles Babbage in 1843. As part of the design, he devised a number of novel techniques, including Irish logarithms.","Charles Babbage in 1843 and Percy Ludgate in 1909 designed the first two Analytical Engines in history. Ludgate's engine used multiplication as its basis (using his own discrete Irish logarithms), had the first multiplier-accumulator (MAC), was first to exploit a MAC to perform division, stored numbers as displacements of rods in shuttles, and had several other novel features, including for program control.",1883,1922,Skibbereen,Ireland,United Kingdom of Great Britain and Ireland,20,1909,Early Electronic Computing,"[""theory of computation"", ""hardware""]",male,[],[],[],[],[],[],[],51.5559,-9.2621,https://pioneersincs.blob.core.windows.net/pioneers-images/percy_ludgate.webp
Bertrand Russell,"Bertrand Arthur William Russell, 3rd Earl Russell, was an English philosopher, logician, mathematician, and public","Bertrand Russell was a British philosopher, logician, mathematician, historian, writer, and political activist. He is best known for his work in mathematical logic and analytic philosophy, including his role in the development of modern logic and set theory.","Bertrand Arthur William Russell, 3rd Earl Russell, was an English philosopher, logician, mathematician, and public intellectual. He influenced mathematics, logic, set theory, and various areas of analytic philosophy.","Made contributions to computer science with his work on mathematical logic (example: truth function). Introduced the notion of type theory. He also introduced type system (along with Alfred North Whitehead) in his work, Principia Mathematica.",1872,1970,Trellech,United Kingdom,United Kingdom of Great Britain and Ireland,20,1910,Early Electronic Computing,"[""theory of computation""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""University of Cambridge"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Trinity College"", ""year"": null}]","[{""name"": ""Medal Carl von Ossietzky"", ""year"": null}, {""name"": ""Fellow of the Royal Society"", ""year"": null}, {""name"": ""Sylvester Medal"", ""year"": 1934}, {""name"": ""Kalinga Prize"", ""year"": 1957}, {""name"": ""Jerusalem Prize"", ""year"": 1963}, {""name"": ""De Morgan Medal"", ""year"": 1932}, {""name"": ""Sonning Prize"", ""year"": 1960}, {""name"": ""doctor honoris causa from the University of Aix-Marseille"", ""year"": 1947}, {""name"": ""Nobel Prize in Literature"", ""year"": 1950}]","[{""name"": ""London School of Economics and Political Science"", ""role"": null, ""years"": null}, {""name"": ""University of California, Los Angeles"", ""role"": null, ""years"": null}, {""name"": ""Harvard University"", ""role"": null, ""years"": null}, {""name"": ""University of Chicago"", ""role"": null, ""years"": null}]","[{""title"": ""Wisdom of the West"", ""type"": ""other"", ""year"": null}, {""title"": ""Human Knowledge: Its Scope and Limits"", ""type"": ""other"", ""year"": 1948}, {""title"": ""A History of Western Philosophy"", ""type"": ""other"", ""year"": 1945}, {""title"": ""Justice in war time"", ""type"": ""other"", ""year"": 1917}, {""title"": ""Introduction to Mathematical Philosophy"", ""type"": ""other"", ""year"": null}, {""title"": ""Human society in ethics and politics"", ""type"": ""other"", ""year"": 1954}, {""title"": ""In Praise of Idleness and Other Essays"", ""type"": ""other"", ""year"": 1935}, {""title"": ""My Philosophical Development"", ""type"": ""other"", ""year"": 1959}, {""title"": ""Proposed Roads to Freedom"", ""type"": ""other"", ""year"": 1919}, {""title"": ""The Autobiography of Bertrand Russell"", ""type"": ""other"", ""year"": 1967}, {""title"": ""Principia Mathe"", ""type"": ""other"", ""year"": 1917}, {""title"": ""Marriage and Morals"", ""type"": ""other"", ""year"": 1929}, {""title"": ""The Principles of Mathematics"", ""type"": ""other"", ""year"": 1903}, {""title"": ""The Problems of Philosophy"", ""type"": ""other"", ""year"": 1912}, {""title"": ""Power: A New Social Analysis"", ""type"": ""other"", ""year"": 1938}]","[""Euclid"", ""Gottfried Wilhelm Leibniz"", ""Ludwig Wittgenstein""]","[""Stephen Hawking"", ""Louis Couturat"", ""Richard Dawkins"", ""Jawaharlal Nehru"", ""Gustav Bergmann"", ""Ludwig Wittgenstein""]","[""He went to prison for his pacifism during the First World War, and he initially supported appeasing Adolf Hitler's Nazi Germany, before changing his view in 1943, describing war as a necessary \""lesser of two evils\"".""]",51.7416,-2.7241,https://pioneersincs.blob.core.windows.net/pioneers-images/bertrand_russell.webp
William Eccles,"William Eccles may refer to:William Eccles (physicist) (1875–1966), British physicist and pioneer in the development","William Henry Eccles FRS (1875-1966) was a British physicist and pioneer in radio communication. He advocated for Heaviside's theory on radio wave reflection, invented the term ""Diode,"" and co-patented the flip-flop circuit. Eccles held prestigious positions and made significant contributions to the field of wireless communication and electronic circuit development.","William Eccles may refer to:William Eccles (physicist) (1875–1966), British physicist and pioneer in the development of radio communication
William Eccles (MP) (1794–1853), British Radical politician
William Eccles (cricketer) (1838–1900), English cricketer, cricket administrator and British Army officer
William J. Eccles (1917–1998), historian of Canada","Patented the Eccles–Jordan trigger circuit,the so-called ""bistable flip-flop"", a building block of all digital memory cells. Built from vacuum tubes, their concept was essential for the success of the Colossus codebreaking computer.",1875,1966,Barrow-in-Furness,United Kingdom,United Kingdom,20,1918,Early Electronic Computing,"[""hardware""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Imperial College London"", ""year"": null}]","[{""name"": ""Fellow of the Royal Society"", ""year"": null}]",[],[],[],[],[],54.109,-3.231364,https://pioneersincs.blob.core.windows.net/pioneers-images/william_eccles.webp
